SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,Angus and Perthshire Glens,Male,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,519
Individuals,Angus and Perthshire Glens,Male,40 to 44,Degree level qualifications or above,842
Individuals,Angus and Perthshire Glens,Male,45 to 49,All people aged 16 and over,2686
Individuals,Angus and Perthshire Glens,Male,45 to 49,No qualifications,244
Individuals,Angus and Perthshire Glens,Male,45 to 49,Lower school qualifications,519
Individuals,Angus and Perthshire Glens,Male,45 to 49,Upper school qualifications,260
Individuals,Angus and Perthshire Glens,Male,45 to 49,Apprenticeship qualifications,429
Individuals,Angus and Perthshire Glens,Male,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,480
Individuals,Angus and Perthshire Glens,Male,45 to 49,Degree level qualifications or above,753
Individuals,Angus and Perthshire Glens,Male,50 to 54,All people aged 16 and over,3481
Individuals,Angus and Perthshire Glens,Male,50 to 54,No qualifications,437
Individuals,Angus and Perthshire Glens,Male,50 to 54,Lower school qualifications,741
Individuals,Angus and Perthshire Glens,Male,50 to 54,Upper school qualifications,316
Individuals,Angus and Perthshire Glens,Male,50 to 54,Apprenticeship qualifications,520
Individuals,Angus and Perthshire Glens,Male,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,484
Individuals,Angus and Perthshire Glens,Male,50 to 54,Degree level qualifications or above,988
Individuals,Angus and Perthshire Glens,Male,55 to 59,All people aged 16 and over,4050
Individuals,Angus and Perthshire Glens,Male,55 to 59,No qualifications,637
Individuals,Angus and Perthshire Glens,Male,55 to 59,Lower school qualifications,761
Individuals,Angus and Perthshire Glens,Male,55 to 59,Upper school qualifications,336
Individuals,Angus and Perthshire Glens,Male,55 to 59,Apprenticeship qualifications,690
Individuals,Angus and Perthshire Glens,Male,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,481
Individuals,Angus and Perthshire Glens,Male,55 to 59,Degree level qualifications or above,1145
Individuals,Angus and Perthshire Glens,Male,60 to 64,All people aged 16 and over,3859
Individuals,Angus and Perthshire Glens,Male,60 to 64,No qualifications,622
Individuals,Angus and Perthshire Glens,Male,60 to 64,Lower school qualifications,606
Individuals,Angus and Perthshire Glens,Male,60 to 64,Upper school qualifications,283
Individuals,Angus and Perthshire Glens,Male,60 to 64,Apprenticeship qualifications,783
Individuals,Angus and Perthshire Glens,Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,450
Individuals,Angus and Perthshire Glens,Male,60 to 64,Degree level qualifications or above,1107
Individuals,Angus and Perthshire Glens,Male,65 to 69,All people aged 16 and over,3362
Individuals,Angus and Perthshire Glens,Male,65 to 69,No qualifications,686
Individuals,Angus and Perthshire Glens,Male,65 to 69,Lower school qualifications,340
Individuals,Angus and Perthshire Glens,Male,65 to 69,Upper school qualifications,262
Individuals,Angus and Perthshire Glens,Male,65 to 69,Apprenticeship qualifications,729
Individuals,Angus and Perthshire Glens,Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,362
Individuals,Angus and Perthshire Glens,Male,65 to 69,Degree level qualifications or above,984
Individuals,Angus and Perthshire Glens,Male,70 to 74,All people aged 16 and over,3327
Individuals,Angus and Perthshire Glens,Male,70 to 74,No qualifications,903
Individuals,Angus and Perthshire Glens,Male,70 to 74,Lower school qualifications,289
Individuals,Angus and Perthshire Glens,Male,70 to 74,Upper school qualifications,190
Individuals,Angus and Perthshire Glens,Male,70 to 74,Apprenticeship qualifications,701
Individuals,Angus and Perthshire Glens,Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,263
Individuals,Angus and Perthshire Glens,Male,70 to 74,Degree level qualifications or above,982
Individuals,Angus and Perthshire Glens,Male,75 to 79,All people aged 16 and over,2444
Individuals,Angus and Perthshire Glens,Male,75 to 79,No qualifications,789
Individuals,Angus and Perthshire Glens,Male,75 to 79,Lower school qualifications,245
Individuals,Angus and Perthshire Glens,Male,75 to 79,Upper school qualifications,103
Individuals,Angus and Perthshire Glens,Male,75 to 79,Apprenticeship qualifications,499
Individuals,Angus and Perthshire Glens,Male,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,151
Individuals,Angus and Perthshire Glens,Male,75 to 79,Degree level qualifications or above,657
Individuals,Angus and Perthshire Glens,Male,80 to 84,All people aged 16 and over,1534
Individuals,Angus and Perthshire Glens,Male,80 to 84,No qualifications,485
Individuals,Angus and Perthshire Glens,Male,80 to 84,Lower school qualifications,168
Individuals,Angus and Perthshire Glens,Male,80 to 84,Upper school qualifications,50
Individuals,Angus and Perthshire Glens,Male,80 to 84,Apprenticeship qualifications,335
Individuals,Angus and Perthshire Glens,Male,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,83
Individuals,Angus and Perthshire Glens,Male,80 to 84,Degree level qualifications or above,415
Individuals,Angus and Perthshire Glens,Male,85 and over,All people aged 16 and over,1370
Individuals,Angus and Perthshire Glens,Male,85 and over,No qualifications,557
Individuals,Angus and Perthshire Glens,Male,85 and over,Lower school qualifications,122
Individuals,Angus and Perthshire Glens,Male,85 and over,Upper school qualifications,49
Individuals,Angus and Perthshire Glens,Male,85 and over,Apprenticeship qualifications,272
Individuals,Angus and Perthshire Glens,Male,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,74
Individuals,Angus and Perthshire Glens,Male,85 and over,Degree level qualifications or above,300
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,All people aged 16 and over,82502
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,No qualifications,13744
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,Lower school qualifications,16125
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,Upper school qualifications,8395
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,Apprenticeship qualifications,7838
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,12044
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,Total,Degree level qualifications or above,24359
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,All people aged 16 and over,4139
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,No qualifications,420
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,Lower school qualifications,1744
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,Upper school qualifications,1344
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,Apprenticeship qualifications,126
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,382
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,16 to 19,Degree level qualifications or above,127
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,All people aged 16 and over,4555
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,No qualifications,260
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,Lower school qualifications,909
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,Upper school qualifications,923
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,Apprenticeship qualifications,363
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1129
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,20 to 24,Degree level qualifications or above,969
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,All people aged 16 and over,4936
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,No qualifications,250
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,Lower school qualifications,950
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,Upper school qualifications,536
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,Apprenticeship qualifications,413
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1103
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,25 to 29,Degree level qualifications or above,1689
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,All people aged 16 and over,5603
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,No qualifications,366
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,Lower school qualifications,1075
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,Upper school qualifications,513
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,Apprenticeship qualifications,425
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1089
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,30 to 34,Degree level qualifications or above,2131
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,All people aged 16 and over,6013
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,No qualifications,411
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,Lower school qualifications,1018
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,Upper school qualifications,582
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,Apprenticeship qualifications,424
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1203
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,35 to 39,Degree level qualifications or above,2374
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,All people aged 16 and over,5887
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,No qualifications,410
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,Lower school qualifications,1050
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,Upper school qualifications,504
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,Apprenticeship qualifications,375
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1098
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,40 to 44,Degree level qualifications or above,2447
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,All people aged 16 and over,6037
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,No qualifications,513
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,Lower school qualifications,1165
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,Upper school qualifications,637
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,Apprenticeship qualifications,481
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1069
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,45 to 49,Degree level qualifications or above,2169
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,All people aged 16 and over,7069
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,No qualifications,927
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,Lower school qualifications,1466
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,Upper school qualifications,750
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,Apprenticeship qualifications,600
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1108
Individuals,Arbroath and Broughty Ferry,All people aged 16 and over,50 to 54,Degree level qualifications or above,2218
