SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,Glasgow West,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,48826
Households,Glasgow West,All Household Reference Persons aged 16 and over,Owned: Total,23966
Households,Glasgow West,All Household Reference Persons aged 16 and over,Owned: Owned outright,11811
Households,Glasgow West,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11893
Households,Glasgow West,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),155
Households,Glasgow West,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),107
Households,Glasgow West,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,15180
Households,Glasgow West,All Household Reference Persons aged 16 and over,Private rented: Total,9011
Households,Glasgow West,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,8763
Households,Glasgow West,All Household Reference Persons aged 16 and over,Private rented: Other,248
Households,Glasgow West,All Household Reference Persons aged 16 and over,Lives Rent Free,672
Households,Glasgow West,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,12391
Households,Glasgow West,Household Reference Person ages 16 to 34,Owned: Total,3857
Households,Glasgow West,Household Reference Person ages 16 to 34,Owned: Owned outright,810
Households,Glasgow West,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2946
Households,Glasgow West,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),57
Households,Glasgow West,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),44
Households,Glasgow West,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2750
Households,Glasgow West,Household Reference Person ages 16 to 34,Private rented: Total,5540
Households,Glasgow West,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,5438
Households,Glasgow West,Household Reference Person ages 16 to 34,Private rented: Other,104
Households,Glasgow West,Household Reference Person ages 16 to 34,Lives Rent Free,248
Households,Glasgow West,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,12319
Households,Glasgow West,Household Reference Person is aged 35 to 49,Owned: Total,5772
Households,Glasgow West,Household Reference Person is aged 35 to 49,Owned: Owned outright,1043
Households,Glasgow West,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4670
Households,Glasgow West,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),29
Households,Glasgow West,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),30
Households,Glasgow West,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4295
Households,Glasgow West,Household Reference Person is aged 35 to 49,Private rented: Total,2105
Households,Glasgow West,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,2042
Households,Glasgow West,Household Reference Person is aged 35 to 49,Private rented: Other,61
Households,Glasgow West,Household Reference Person is aged 35 to 49,Lives Rent Free,143
Households,Glasgow West,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13332
Households,Glasgow West,Household Reference Person is aged 50 to 64,Owned: Total,7558
Households,Glasgow West,Household Reference Person is aged 50 to 64,Owned: Owned outright,3944
Households,Glasgow West,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3562
Households,Glasgow West,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),33
Households,Glasgow West,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),15
Households,Glasgow West,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4717
Households,Glasgow West,Household Reference Person is aged 50 to 64,Private rented: Total,951
Households,Glasgow West,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,909
Households,Glasgow West,Household Reference Person is aged 50 to 64,Private rented: Other,40
Households,Glasgow West,Household Reference Person is aged 50 to 64,Lives Rent Free,106
Households,Glasgow West,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,10784
Households,Glasgow West,Household Reference Person is aged 65 and over,Owned: Total,6776
Households,Glasgow West,Household Reference Person is aged 65 and over,Owned: Owned outright,6014
Households,Glasgow West,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,711
Households,Glasgow West,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),36
Households,Glasgow West,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),18
Households,Glasgow West,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3415
Households,Glasgow West,Household Reference Person is aged 65 and over,Private rented: Total,415
Households,Glasgow West,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,372
Households,Glasgow West,Household Reference Person is aged 65 and over,Private rented: Other,43
Households,Glasgow West,Household Reference Person is aged 65 and over,Lives Rent Free,175
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,42861
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Owned: Total,25442
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Owned: Owned outright,13854
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11395
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),57
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),139
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,12596
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Private rented: Total,4221
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,4072
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Private rented: Other,149
Households,Glenrothes and Mid Fife,All Household Reference Persons aged 16 and over,Lives Rent Free,602
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6457
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Owned: Total,2652
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Owned: Owned outright,328
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2270
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),10
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),41
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2318
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Private rented: Total,1405
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1375
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Private rented: Other,30
Households,Glenrothes and Mid Fife,Household Reference Person ages 16 to 34,Lives Rent Free,86
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9849
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Owned: Total,5244
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Owned: Owned outright,797
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4393
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),8
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),46
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3236
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Private rented: Total,1291
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1248
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Private rented: Other,45
Households,Glenrothes and Mid Fife,Household Reference Person is aged 35 to 49,Lives Rent Free,80
Households,Glenrothes and Mid Fife,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13430
Households,Glenrothes and Mid Fife,Household Reference Person is aged 50 to 64,Owned: Total,8616
Households,Glenrothes and Mid Fife,Household Reference Person is aged 50 to 64,Owned: Owned outright,4514
